date,product,demand
2026-01-01,P1,48
2026-01-02,P1,52
2026-01-03,P1,55
2026-01-04,P1,47
2026-01-05,P1,51
2026-01-06,P1,49
2026-01-07,P1,54
2026-01-08,P1,46
2026-01-09,P1,53
2026-01-10,P1,50
2026-01-01,P2,34
2026-01-02,P2,38
2026-01-03,P2,32
2026-01-04,P2,36
2026-01-05,P2,35
2026-01-06,P2,37
2026-01-07,P2,31
2026-01-08,P2,36
2026-01-09,P2,33
2026-01-10,P2,35
2026-01-01,P3,62
2026-01-02,P3,68
2026-01-03,P3,65
2026-01-04,P3,70
2026-01-05,P3,63
2026-01-06,P3,67
2026-01-07,P3,61
2026-01-08,P3,69
2026-01-09,P3,64
2026-01-10,P3,66
